happiness_score,gdp,family,health,freedom,generosity,corruption,region,year,country,social_wellbeing,positive_factors
6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,Western Europe,2016,Luxembourg,1.8854099999999998,2.1686400000000003
6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,Latin America and Caribbean,2016,Mexico,1.42603,1.42597
6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,Southeastern Asia,2016,Singapore,1.81477,1.9904400000000002
6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,Western Europe,2016,United Kingdom,1.89663,2.13076
6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,Latin America and Caribbean,2016,Chile,1.7247,1.79603
6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,Latin America and Caribbean,2016,Panama,1.69747,1.8299
6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,Latin America and Caribbean,2016,Argentina,1.76323,1.61114
6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,Central and Eastern Europe,2016,Czech Republic,1.77169,1.7827600000000001
6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561,Middle East and Northern Africa,2016,United Arab Emirates,1.60107,2.04597
6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,Latin America and Caribbean,2016,Uruguay,1.75326,1.69207
6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,Western Europe,2016,Malta,1.90194,2.24459
6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,Latin America and Caribbean,2016,Colombia,1.61828,1.57994
6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,Western Europe,2016,France,1.84303,1.8040199999999997
6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,Southeastern Asia,2016,Thailand,1.6939199999999999,2.14346
6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,Middle East and Northern Africa,2016,Saudi Arabia,1.44096,1.7230600000000003
6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663,Eastern Asia,2016,Taiwan,1.72189,1.90971
6.375,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049,Middle East and Northern Africa,2016,Qatar,1.59687,2.23445
6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137,Western Europe,2016,Spain,2.00841,1.8332600000000001
6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157,Middle East and Northern Africa,2016,Algeria,1.45113,1.17159
6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701,Latin America and Caribbean,2016,Guatemala,1.41158,1.5393999999999999
